Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Introduction,,,,"For all of you beach enthusiasts or surfers out there, I have created this guide for the best beaches and surf spots around the Iberian Peninsula, as well as some spots located in the Northern region of Africa and in the South of France. The way this website is set up is ideal to guide you in a road trip that will take you from the South of France all the way to Africa and passing along many beautiful beaches located in Northern Spain and Portugal as well.<br><br> ",16,Numbered,orange,"La Graviere, Hossegor",43.68187432,-1.439919083,,,,
"Hossegor, South of France",https://www.spiritsurfschool.com/upload-cms/image-galerie3.jpg,Source: Spirit surf school,https://www.spiritsurfschool.com/upload-cms/image-galerie3.jpg,"First I want to talk about the Southern French coast which includes some of the most famous locations for surfers such as La Graviere and La Centrale, both located in Hossegor. These two locations have been past hosts for the professional surfing tour which used to stop here every year.<br><br>The food here is great and the crowds are not too bad since the beaches here spread for many kilometers and there is plenty of space for everyone. ",14,Numbered,orange,"Capbreton, South of France",43.66952349,-1.441653771,,,,
Cote de Basques,https://www.biarritz-pays-basque.com/wp-content/uploads/2019/05/Biarritz_Cote_des_basques_4_jpg-1024x576.jpg,Source: Biarritz pays basques,,After that you can pass by Cote de Basques which is a really popular beach in the south of France where many professional surf contests have happened in the past. It has some of the best views along the coast with long steps that take you down to the beach.,14,3,orange,Cote de Basques,43.48104503,-1.566323446,,,,
Lafitenia,https://www.martysurfdelivery.com/img/leoblog/b/lg-b-lafitenia.jpg,Source: Marty surf delivery,"https://www.martysurfdelivery.com/img/leoblog/b/lg-b-lafitenia.jpg
",After this you will be making your way into Northern Spain. On the way there I recommend passing by a couple different beaches. Lafitenia is one of them which offers a beautiful right hand point break and has some small restaurants right on the beach in case you get hungry.,16,4,orange,lafitenia,43.4146436,-1.628951957,,,,
La Zurriola,https://www.singlequiver.com/enelpico/wp-content/uploads/2021/02/zurriola-surf-1.jpg,Source: Single Quiver,https://www.singlequiver.com/enelpico/olas-en-la-zurriola-surf-trip-a-san-sebastian/,"After crossing the border into Spain you will make a stop in San Sebastian where there is a really famous beach called La Zurriola which has great waves and an amazing view of the city and mountains in the background. After surfing, I recommend going into the city for lunch where you will enjoy some of the best food that you will find on your trip. My favorite spot there is Bar Zabaleta where they have the best Spanish tortilla, it is truly amazing.
",17,5,orange,"La Zurriola, San Sebastian",43.32611837,-1.978074675,,,,
Zarautz,https://ciudadsurf.com/wp-content/uploads/2020/01/surf-en-zarautz-1.jpg,Source: city of zarautz,https://ciudadsurf.com/surf-en-zarautz/,"Another mythical surf spot on this coast that you can pass by before crossing into Portugal is Zarautz which is arguably the most famous beachbreak in the basque country. It has been home for many surf contests and many surf legends like Sunny Garcia and 11 time world champion Kelly Slater.
",16,6,orange,"Zarautz, Basque Country",43.28942218,-2.168355417,,,,
"Nazare, Portugal",https://d14fqx6aetz9ka.cloudfront.net/wp-content/uploads/2020/09/02091816/HelioAntonioNov2018.jpeg,Source: Surfline,https://www.surfline.com/surf-news/15-craziest-nazare-moments-time/95441,Portugal is one of the places in the world with the largest surf community. Most surfers over there are pretty friendly but you will want to beware of the locals and be respectful when you enter the water to get a surf in. The first spot that you will want to pass by is Nazare. Nazare is one of the most famous spots in the world where some of the largest waves in history have been recorded. In the summer the waves should be pretty fun but if you are going in winter you will want to be careful and make sure to only go out if you are an experienced surfer. ,17,7,orange,"Nazare, Portugal",39.61469874,-9.085376519,,,,
"Supertubos, Peniche","https://www.surfline.com/cdn-cgi/image/q=85,f=auto,fit=contain/https://d14fqx6aetz9ka.cloudfront.net/wp-content/uploads/2018/10/03092108/Supertubos_09.jpg",Source: Surfline,https://www.surfline.com/surf-news/mechanics-supertubos-supertubes-peniche-portugal-surf/36539,"The second stop that I recommend doing in Portugal is Supertubos. Supertubos is one of the most famous beach breaks in Europe famous for its great barrels, hence the name which basically means huge barrels. The waves here can also not be user friendly on the big days so you might want to catch it on a smaller day or look for another break nearby.  
",17,8,orange,Peniche,39.34090086,-9.360909696,,,,
"Safi, Morocco",https://www.youtube.com/embed/xFP4ZwHqXKo,Source: Surfforecast.com,https://www.surf-forecast.com/breaks/Safi-Garden/photos/6730,After making your way into Morocco either by plane or by ferry you can make your way down to Safi. Safi is a pretty small town with not much around but the scenery and the waves are great. The food is also something to experience and I definitely recommend stopping by here before getting to the final magic spot.,17,9,orange,Safi,32.33202615,-9.279608726,,,,
"Anchor Point, Morocco",https://www.surfholidays.com/assets/images/blog/2015-12-08-Anchor_Point_Surf.jpg,Source: surfholidays.com,https://www.surfholidays.com/blog/legendary-surf-spots-anchor-point-in-morocco,"This spot was first discovered by Australians in the 60s and it is one of the most magical waves in Africa. It is a right hand point break that stretched for kilometers. If you get the right wave, you can probably get the longest wave of your life there. ",15,10,orange,"Anchor Point, Morocco",30.54527533,-9.726868719,,,,
Outro,,,,I hope this guide was useful and I can tell you that you wont regret visiting any of these spots. I recommended these places from personal experriences and I can assure you that it will be a great time. Thank you for visiting my storymap :),,,blue,,,,,0.7,geojson/canal-1851.geojson,color:red;weight:3
